id,nazwa_firmy,adres,miasto,telefon,email,strona_www,branza,ocena,liczba_opinii,godziny_otwarcia,zrodlo,data_znalezienia,data_wyslania,kanal_wyslania,link_preview,status,data_odpowiedzi,notatki
20b7a5fc,The Spaghetti,"Rynek Główny 17, Kraków",Kraków,,,https://thespaghetti.pl,restauracja,,,Mo-Su 12:00-20:00+,osm,2026-03-30,,,,new,,
7b4f6665,Wierzynek,"Rynek Główny 16, Kraków",Kraków,+48 12 424 96 00,,https://wierzynek.pl/,restauracja,,,Mo-Su 13:00-23:00,osm,2026-03-30,,,,new,,
105475fe,Tradycyja,"Rynek Główny 15, Kraków",Kraków,,,,restauracja,,,Mo-Su 12:00-22:00,osm,2026-03-30,,,,new,,
fcb94d61,Amber,"Rynek Główny 14, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
8e662879,Wesele,"Rynek Główny 10, Kraków",Kraków,+48 530 129 673,,https://weselerestauracja.pl,restauracja,,,"Mo-Th 13:00-23:00; Fr,Sa 12:00-23:00; Su 12:00-22:00",osm,2026-03-30,,,,new,,
746730bc,Szara,"Rynek Główny 6, Kraków",Kraków,+48 12 4216669,,https://szara.pl,restauracja,,,,osm,2026-03-30,,,,new,,
c9cc9532,Hard Rock Cafe,"Rynek Główny 4, Kraków",Kraków,+48124291155,krakow@hardrockcafe.pl,https://www.hardrockcafe.com/location/krakow/,restauracja,,,Mo-Fr 10:00-00:00; Sa-Su 10:00-01:00,osm,2026-03-30,,,,new,,
abb1bc6c,Sorrento,Kraków,Kraków,,,https://sorrentokrakow.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
5d7a3f99,The Piano Rouge,"Rynek Główny 46, Kraków",Kraków,,,https://www.thepianorouge.com.pl/,restauracja,,,Mo-Su 09:30+,osm,2026-03-30,,,,new,,
af907d02,Staropolska,"Rynek Główny 44, Kraków",Kraków,,,http://www.rynek44.pl/staropolska.html,restauracja,,,,osm,2026-03-30,,,,new,,
bfbacd8d,Amalia,"Rynek Główny 42, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
01819309,Loża,"Rynek Główny 41, Kraków",Kraków,,,,restauracja,,,Mo-Su 09:00-24:00,osm,2026-03-30,,,,new,,
172cbeb5,Redolfi,"Rynek Główny 38, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
1bd76dce,Soul Resto Bar,"Szewska 4, Kraków",Kraków,,,http://www.https://soul-resto-bar.pl/.pl/,restauracja,,,"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00",osm,2026-03-30,,,,new,,
50849151,Destino,"Świętej Anny 5, 31-008, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
4ed9f8a4,Nowa Reforma,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
58df100c,Figa z Makiem,"Świętego Tomasza 10, 31-014, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
1c1be73d,Domowe Przysmaki,Kraków,Kraków,,,https://www.domoweprzysmaki.pl/,restauracja,,,Mo-Su 10:00-22:00,osm,2026-03-30,,,,new,,
60c87232,Cyrano de Bergerac,"Sławkowska, Kraków",Kraków,+48 12 411 72 88,,https://cyranodebergerac.com.pl/,restauracja,,,Mo-Su 12:00-23:00,osm,2026-03-30,,,,new,,
94def536,Vesuvio,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
5e39cf37,Piwnica Pod Złotą Pipą,"Floriańska 30, 31-021, Kraków",Kraków,,,https://restauracja-pipa.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
aa4a6038,Tarttoria Degusti,Kraków,Kraków,,,https://www.facebook.com/TrattoriaDegusti/,restauracja,,,"Mo-Su 12:00-22:00; Fr,Sa 12:00-23:00",osm,2026-03-30,,,,new,,
0b836cb3,Taste Poland,"Floriańska 21, 31-019, Kraków",Kraków,,,,restauracja,,,"Mo-Fr 10:00-20:00; Sa,Su 10:00-20:00+",osm,2026-03-30,,,,new,,
d9dc35bd,Baroque Wódka & Food,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
f5da0550,Farina,Kraków,Kraków,,,https://www.farina.com.pl/,restauracja,,,Mo-Su 12:00-23:00,osm,2026-03-30,,,,new,,
e2b8cbe8,Bar Orientalny Son Anh,Kraków,Kraków,+48 793 513 515,,,restauracja,,,,osm,2026-03-30,,,,new,,
fcb5a50d,Stylowa,"31-929, Kraków",Kraków,,,,restauracja,,,Mo-Su 10:00-21:30,osm,2026-03-30,,,,new,,
6aaf1bdb,Dynia Resto Bar,"Krupnicza 20, Kraków",Kraków,+48 12 430 08 38,,http://dynia.krakow.pl,restauracja,,,Mo-Su 11:00-23:00,osm,2026-03-30,,,,new,,
83f4dc4d,Aquarius - restaurant & cocktail bar,"Bulwar Czerwieński 81, 30-069, Kraków",Kraków,+48 505 102 644,info@aquariuskrakow.pl,https://www.aquariuskrakow.pl/,restauracja,,,"Mo-Fr 13:00-22:00, Sa-Su 12:00-22:00",osm,2026-03-30,,,,new,,
afdc36ab,Klimaty Poludnia,Kraków,Kraków,,,http://klimatypoludnia.eu/,restauracja,,,Tu-Fr 13:00-23:00; Sa 12:00-23:00; Su 12:00-22:00,osm,2026-03-30,,,,new,,
2c30fd28,Mid Town,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
6b34f447,Banolli,Kraków,Kraków,,,https://banolli.pl/,restauracja,,,Mo-Su 11:30-22:00,osm,2026-03-30,,,,new,,
068422e1,Za furtką,"Rafała Czerwiakowskiego 6, 30-695, Kraków",Kraków,+48 730 333 019,achmolo@poczta.onet.pl,https://www.zafurtka.pl/,restauracja,,,Mo-Su 12:00-20:00,osm,2026-03-30,,,,new,,
da3377bb,Na Wawelu,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
da411aba,Szeroka12,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
7034561d,Pilea,"Porucznika Jerzego Halszki 29, 30-611, Kraków",Kraków,+48734789961,,,restauracja,,,Mo-Su 12:00-21:00,osm,2026-03-30,,,,new,,
21519e4c,Pizza Accanto,"Kobierzyńska 23a, 30-363, Kraków",Kraków,+48 795 573 707,,,restauracja,,,,osm,2026-03-30,,,,new,,
ff7b1b69,Restauracja Stek,"Niepodległości 4, 32-050, Skawina",Kraków,+48 602 408 354,,,restauracja,,,,osm,2026-03-30,,,,new,,
80f3ce72,Karczma Pod Wielką Solą,"Grunwaldzka 46, 32-020, Wieliczka",Kraków,,,https://www.karczma-wieliczka.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
9eb08491,"Restauracja -Pizzeria ""Amalfi""","Podkamycze 2, 32-083, Balice",Kraków,+48 12 661 64 94,,http://eamalfi.pl/,restauracja,,,Mo-Su 13:00-22:00,osm,2026-03-30,,,,new,,
026fbddd,U Babci Maliny,"Szpitalna 38, 31-024, Kraków",Kraków,,,https://www.kuchniaubabcimaliny.pl/nasze-restauracje/krakow-ul-szpitalna-38.html,restauracja,,,Mo-Su 11:00-23:00,osm,2026-03-30,,,,new,,
7a9e8c24,VietHome,"Bonarka 5, 30-415, Kraków",Kraków,+48 732 563 888,,http://www.pomodorino.pl,restauracja,,,Mo-Fr 11:00-21:00; Sa 11:00-21:00; Su 12:00-21:00,osm,2026-03-30,,,,new,,
e4ca98b0,Bar Orientalny,Kraków,Kraków,,,,restauracja,,,Mo-Sa 10:00-21:00; Su 11:00-21:00,osm,2026-03-30,,,,new,,
064934eb,Panorama,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
1b921575,Pod Złotym Liściem,Kraków,Kraków,,,https://www.facebook.com/Pod-Zlotym-Lisciem-Restauracja-211100625572389/,restauracja,,,Tu-Su 15:00-23:00,osm,2026-03-30,,,,new,,
24673a2e,Bom Fogo,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
951bf595,Jadłodajnia u Sztygara,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
7eb189ab,Pizzeria Kliny,"Zawiszy 10, 30-440, Kraków",Kraków,+48 12 264 51 55,,https://www.pizzeriakliny.pl/,restauracja,,,Mo-Su 12:00-22:00; ,osm,2026-03-30,,,,new,,
e889eb5d,Restauracja Santorini,Kraków,Kraków,,hotel@santorinikrakow.pl,http://www.santorinikrakow.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
31d67088,Martello,"Chmielna 18A, 30-612, Kraków",Kraków,+48 12 655 60 42,,https://martello.com.pl/,restauracja,,,Mo-Su 12:00-22:00,osm,2026-03-30,,,,new,,
a39e77a8,Gąska,Kraków,Kraków,,,,restauracja,,,Mo-Su 12:00-22:00,osm,2026-03-30,,,,new,,
a8736da7,Me Thai,"Kazimierza Brodzińskiego 3, Kraków",Kraków,+48 515 922 890,,,restauracja,,,Mo-Fr 10:00-22:00; Sa-Su 11:00-22:00,osm,2026-03-30,,,,new,,
52230c94,Luktung,"Rynek Podgórski 11, Kraków",Kraków,,,https://www.facebook.com/LuktungKrk,restauracja,,,,osm,2026-03-30,,,,new,,
48a8d0c9,Lokalna,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
9cc8db2d,India Masala,"Mały Rynek 2, 33-332, Kraków",Kraków,+48 124 214 756,,https://www.indiamasala.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
e142c420,Café Filo,"Świętego Tomasza 30, 30-001, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
86f9a794,Kmita,Kraków,Kraków,+48 12 278 2933,,,restauracja,,,,osm,2026-03-30,,,,new,,
a057def0,Fabryka Pizzy,"Stańczyka 14, 30-126, Kraków",Kraków,,,,restauracja,,,Mo-Su 12:00-22:00,osm,2026-03-30,,,,new,,
e355632c,Grand Felix,Kraków,Kraków,,,https://www.hotelfelix.pl/restauracja,restauracja,,,,osm,2026-03-30,,,,new,,
75a9815f,Hoang Hai,"Kapelanka 15, 30-347, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
11f14803,Sam,"Profesora Michała Życzkowskiego 23, 31-864, Kraków",Kraków,+48 572 478 411,zyczykowskiego23@sam.pl,https://www.eatingpoint.pl,restauracja,,,Mo-Fr 08:00-15:00,osm,2026-03-30,,,,new,,
3f3428be,Qlinaria,Kraków,Kraków,+48504223968,,,restauracja,,,Mo-Fr 09:00-16:00,osm,2026-03-30,,,,new,,
e73a3c73,Między-Nami,Kraków,Kraków,+48 122630066,kontakt@miedzy-nami.pl,"http://www.glebiasmaku.pl/krakow/681,Miedzy_Nami,restauracja.html",restauracja,,,"Mo-Fr 12:00-18:00; Sa,Su 12:00-17:00",osm,2026-03-30,,,,new,,
5cf6a268,Ambasada Śledzia,"Stolarska 10, 31-043, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
262b5f64,Chłopskie Jadło,"Grodzka 9, 31-006, Kraków",Kraków,,,https://www.chlopskiejadlo.pl/pl/krakow-grodzka/,restauracja,,,"Mo-Su 11:00-22:00; Fr,Sa 11:00-23:00",osm,2026-03-30,,,,new,,
99d6af8a,Hoan Kiem,"Starowiślna 6, 31-032, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
7adc1650,Veganic,"Karmelicka 34, Kraków",Kraków,,,https://veganic.restaurant/,restauracja,,,"Su-Th 09:00-22:00; Fr,Sa 09:00-23:00",osm,2026-03-30,,,,new,,
e964e1f1,Piwnice Pałacu Pokutyńskich,Kraków,Kraków,+48 12 423 32 33,,,restauracja,,,,osm,2026-03-30,,,,new,,
40f0c8f6,Avanti,Kraków,Kraków,,,,restauracja,,,Mo-Sa 08:30-21:00; Su 10:00-21:00,osm,2026-03-30,,,,new,,
0ae92dc3,Zielona Kuchnia,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
38a3dc78,Dutchpoint,"Karmelicka 3, Kraków",Kraków,,,,restauracja,,,"Tu-Th 16:00-01:00, Sa 15:00-03:00, Su 14:00-01:00; Mo off",osm,2026-03-30,,,,new,,
dc062a89,Oregano,Kraków,Kraków,,,,restauracja,,,"Mo-Su,PH 10:00-22:00",osm,2026-03-30,,,,new,,
5e0474e2,Pizzeria Impero Romano,"Powstania Warszawskiego 7, 32-020, Wieliczka",Kraków,+48 503 667 544,,https://impero-romano.pl/,restauracja,,,Mo-Sa 11:00-22:00; Su 12:00-22:00,osm,2026-03-30,,,,new,,
3b6e1ef9,Off Meat,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
964ad850,Lam Kieu,"Aleksandra Lubomirskiego 51, 31-509, Kraków",Kraków,+48124226921,,,restauracja,,,Mo-Fr 10:00-21:30; Sa-Su 11:00-21:00,osm,2026-03-30,,,,new,,
a21b098a,Va banque,"Generała Władysława Sikorskiego 9, 32-020, Wieliczka",Kraków,,,http://www.restauracje-wieliczka.pl,restauracja,,,Mo-Su 12:00-20:00,osm,2026-03-30,,,,new,,
9525c44f,Creperie,"Mikołaja Kopernika 2, 32-020, Wieliczka",Kraków,+48 506 020 933,,https://www.facebook.com/creperie.wieliczka/,restauracja,,,Mo-Fr 10:00-21:00; Sa-Su 10:00-22:00,osm,2026-03-30,,,,new,,
2c8932b1,Karczma Halit,"Jana Mikołaja Daniłowicza 9, 30-020, Wieliczka",Kraków,,,http://www.halit.krakow.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
4fd84751,Lunch bar Wolański,Kraków,Kraków,,,,restauracja,,,Mo-Sa 09:00-20:00; Su 11:00-20:00,osm,2026-03-30,,,,new,,
279d897c,Wavelove,Kraków,Kraków,,,,restauracja,,,Mo-Fr 10:00-22:00; Sa-Su 11:00-22:30,osm,2026-03-30,,,,new,,
15eba7bd,Margit,"Generała Józefa Chłopickiego 3, Kraków",Kraków,+48 12 411 53 31,,www.margit.krakow.pl,restauracja,,,Mo-Su 10:00-22:00,osm,2026-03-30,,,,new,,
9cec7a5b,Jadłodajnia Miła,Kraków,Kraków,+48 12 4131237,biuro@milacatering.pl,http://www.milacatering.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
9014d2e2,Hong HA,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
97ff9a69,Yatai Sushi,"Rynek Podgórski 14, 30-518, Kraków",Kraków,,,https://www.facebook.com/yataisushiotsumamibar/,restauracja,,,,osm,2026-03-30,,,,new,,
0a7a992b,Domowy Klimat,Kraków,Kraków,+48 576 613 281,domoweprzysmaki90a@interia.pl,,restauracja,,,Mo-Fr 10:00-17:00; Sa 12:00-16:00; Su off,osm,2026-03-30,,,,new,,
1a1e89b6,LUNCH BAR,Kraków,Kraków,,,,restauracja,,,"Mo-Fr 11:30-16:00; Sa,Su,PH 11:30-15:00",osm,2026-03-30,,,,new,,
440c0609,Trattoria Cichy Kącik,"Daniela Chodowieckiego 1, Kraków",Kraków,,,https://trattoriacichykacik.pl/,restauracja,,,Su-We 12:00-22:00; Th-Sa 12:00-23:00,osm,2026-03-30,,,,new,,
b65fc81a,Bar Smak,"Karmelicka 10, 31-128, Kraków",Kraków,,,,restauracja,,,Mo-Su 11:00-22:00,osm,2026-03-30,,,,new,,
79439995,Krakus,Kraków,Kraków,,,,restauracja,,,Mo-Fr 11:00-16:00;Sa-Su 11:30-14:30;SH off,osm,2026-03-30,,,,new,,
3c7857b1,Jarema,"Plac Jana Matejki 5, 31-157, Kraków",Kraków,+48 124 293 669,restauracja@jarema.pl,http://www.jarema.pl,restauracja,,,Mo-Su 12:00-20:00+,osm,2026-03-30,,,,new,,
c1ee3d4b,Polska Restauracja,"Miodowa 12, 31-055, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
551a6e9f,Salta Resto,Kraków,Kraków,+48 602691996,,,restauracja,,,"Mo-Fr 09:00-24:00; Sa 00:00-01:00, 09:00-24:00; Su 00:00-01:00, 09:00-20:00",osm,2026-03-30,,,,new,,
b6f66bdb,Nolio Pop,"Miodowa 33, 31-052, Kraków",Kraków,+48 123745000,,http://trezo.pl,restauracja,,,Mo-Su 10:00-23:00,osm,2026-03-30,,,,new,,
f221321c,Warsztat,"Bożego Ciała 1, 31-055, Kraków",Kraków,+48 12 422 04 86,,https://www.restauracjawarsztat.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
32f9bc18,Ali Baba,"Plac Wolnica 11, 31-060, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
8fec6420,Youmiko Sushi,"Józefa 2, 31-056, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
88d09c69,Edo Sushi Bar,"Bożego Ciała 3, 31-055, Kraków",Kraków,+48 12 422 24 24,rezerwacja@edosushi.pl,http://en.edosushi.pl/,restauracja,,,"Mo-Su 12:00-22:00; Fr,Sa 12:00-23:00",osm,2026-03-30,,,,new,,
2957da40,Tbilisuri,"Beera Meiselsa 5, 31-063, Kraków",Kraków,,,https://www.facebook.com/Tbilisuri/,restauracja,,,Tu-Su 13:00-22:00,osm,2026-03-30,,,,new,,
07fa6540,Hawajskie Niebo w Gębie,"Krakowska 20, 31-062, Kraków",Kraków,,,,restauracja,,,Tu-Fr 16:00-22:00; Sa 13:00-22:00; Su 13:00-21:00,osm,2026-03-30,,,,new,,
34c54977,John Dory,"Stradomska 12/14, 31-058, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
b66b88ab,Gaia,"Stradomska 12/14, 31-058, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
81c181c6,Pod Baranem,"Świętej Gertrudy 21, 31-048, Kraków",Kraków,,,https://podbaranem.com/,restauracja,,,Mo-Sa 13:00-22:00; Su 13:00-18:00,osm,2026-03-30,,,,new,,
14153e13,Wolove Burgers,"31-618, Kraków",Kraków,+48886803295,,https://www.woloveburgers.pl/,restauracja,,,Mo-Fr 11:00-21:00; Sa-Su 12:00-21:00,osm,2026-03-30,,,,new,,
5d627c40,Świetlica,Kraków,Kraków,+48 515 929 005,quickcoffeekrakow@gmail.com,https://www.facebook.com/bistroswietlica,restauracja,,,Mo-Fr 09:00-16:00,osm,2026-03-30,,,,new,,
74ca3114,Bistro4mat,Kraków,Kraków,,,,restauracja,,,08:30-18:00,osm,2026-03-30,,,,new,,
f30c7e80,Hoang-Hai,Kraków,Kraków,,,https://hoanghai.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
09487394,Panda Pizza,"Bieżanowska 41, 30-812, Kraków",Kraków,,,,restauracja,,,Mo off; Tu-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00,osm,2026-03-30,,,,new,,
2ac43a40,Pina Resto Bar Sushi & Ramen,"Mogilska 86, 31-546, Kraków",Kraków,+48 668 500 060,,https://restauracjapina.pl/,restauracja,,,Mo-Fr 12:00-22:00; Sa-Su 12:00-21:00,osm,2026-03-30,,,,new,,
6116f91a,Milkbar Tomasza,Kraków,Kraków,,,https://www.facebook.com/Milkbar-Tomasza-298550616857031/,restauracja,,,Mo-Sa 08:00-18:00; Su 09:00-18:00,osm,2026-03-30,,,,new,,
ebf6079f,Taste of India,"Józefa Dietla 46, 31-039, Kraków",Kraków,,,https://tasteofindia.com.pl/,restauracja,,,12:00-22:00,osm,2026-03-30,,,,new,,
2a78f320,Del Papa,"Świętego Tomasza 6, 31-014, Kraków",Kraków,+48 12 307 1987,,http://delpapa.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
a6c543a8,W Starej Kuchni,"Świętego Tomasza 8, 31-014, Kraków",Kraków,,,https://www.wstarejkuchni.pl/,restauracja,,,Mo-Su 11:30-22:00,osm,2026-03-30,,,,new,,
7cbc485c,Hallo Pizza,"Dobrego Pasterza 99, 31-416, Kraków",Kraków,+48 12 412 98 04,,https://hallo-pizza.pl/,restauracja,,,Mo-Su 12:00-23:00,osm,2026-03-30,,,,new,,
f9c3f06b,Marchewka z Groszkiem,"Mostowa 2, 31-061, Kraków",Kraków,+48 12 430 07 95,,https://marchewkazgroszkiem.pl/,restauracja,,,Su-Th 11:00-21:00; Fr-Sa 11:00-22:00,osm,2026-03-30,,,,new,,
2889e11b,Makaroniarnia,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
1866ef1e,Euskadi,"Kazimierza Brodzińskiego 4, Kraków",Kraków,+48 535 484 056,,https://www.facebook.com/EuskadiKrakow/,restauracja,,,Mo-Su 12:00-23:00,osm,2026-03-30,,,,new,,
826aeb8a,Il Toscano,"Kazimierza Brodzińskiego 8, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
e05b4211,Pokusa,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
c562b59f,Wręga,"Józefa 17, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
90aa71d1,Pasta Bar,Kraków,Kraków,+48 506 820 222,,https://pastabar.com.pl/,restauracja,,,"Su-Th 12:00-22:00; Fr,Sa 12:00-23:00",osm,2026-03-30,,,,new,,
9fc1fc0f,Pimiento,"Józefa 26, Kraków",Kraków,,,https://www.pimiento.pl/,restauracja,,,Mo-Su 12:00-23:00,osm,2026-03-30,,,,new,,
4a159d4d,Starka,"Józefa 14, 31-056, Kraków",Kraków,+48 12 430 6538,,http://www.starka.com.pl,restauracja,,,,osm,2026-03-30,,,,new,,
6b8bc867,Zazie Bistro,"Józefa 34, 31-056, Kraków",Kraków,+48 500 410 829,,http://www.zaziebistro.pl,restauracja,,,"Mo 17:00-23:00, Tu-Th 12:00-23:00, Fr,Sa 12:00-24:00, Su 12:00-23:00",osm,2026-03-30,,,,new,,
bee6dccb,Kuchnia u Doroty,"Augustiańska 4, Kraków",Kraków,,,,restauracja,,,Mo-Su 10:00-21:00,osm,2026-03-30,,,,new,,
f361adf7,Broo,"Świętej Katarzyny 3, Kraków",Kraków,,,,restauracja,,,Tu-Su 13:00-21:00,osm,2026-03-30,,,,new,,
71970b42,Stara Zajezdnia Kraków by DeSilva,"Świętego Wawrzyńca 12, 31-060, Kraków",Kraków,+48 664 323 988,zajezdnia@desilva.pl,https://starazajezdniakrakow.pl/,restauracja,,,"Mo-Th 12:00-24:00; Fr 12:00-24:00; Sa 00:00-01:00,12:00-24:00; Su 00:00-01:00,12:00-24:00",osm,2026-03-30,,,,new,,
b1efd096,Oberża Sąsiadów,"Kordiana 19, 30-653, Kraków",Kraków,,,http://www.oberza.pl,restauracja,,,Tu-Su 12:00-22:00,osm,2026-03-30,,,,new,,
5d95ad91,Eldorado,Kraków,Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
6715c7e3,Nova Resto Bar,"Estery 18, 31-056, Kraków",Kraków,+48 510 788 286,,https://novarestobar.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
7a941566,Złoty Słoń,"Powstańców Wielkopolskich 15, 30-707, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
9ac9892f,Gospoda na Woli,"Królowej Jadwigi 223, 30-218, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
7a0d9754,Pomodorino Ristorante,"Królowej Jadwigi 250, 30-218, Kraków",Kraków,,,,restauracja,,,Mo-Su 11:00-22:00,osm,2026-03-30,,,,new,,
7220e0b4,Oberża pod Czarnym Koniem,"Klasztorna 25, 31-979, Kraków",Kraków,+48 12 6445785,biuro@oberza-krakow.pl,http://www.oberza-krakow.pl/,restauracja,,,,osm,2026-03-30,,,,new,,
85db7924,Tawerna La Capitana,Kraków,Kraków,,,http://facebook.com/PodSrebrnymKurem/,restauracja,,,Mo-Su 09:00-23:00,osm,2026-03-30,,,,new,,
fc7e2174,Karczma Kryspinów,"32-060, Kraków",Kraków,+48 788 616 234,karczmakryspinowbiuro@gmail.com,https://www.karczmakryspinow.pl/,restauracja,,,Mo-Th 12:00-20:00; Fr-Sa 12:00-21:00; Su 12:00-20:00,osm,2026-03-30,,,,new,,
f048a496,Malinowy Anioł,Kraków,Kraków,+48 12 419 04 09; +48 518 479 006,,http://www.malinowy-aniol.pl/,restauracja,,,Mo-Su 09:00-22:00,osm,2026-03-30,,,,new,,
bab79a98,Mangia,"Pilotów 45, 31-462, Kraków",Kraków,+48 12 413 87 46,barmangia@orange.pl,http://www.mangia.pl/,restauracja,,,Mo-Su 09:00-21:00,osm,2026-03-30,,,,new,,
9494bb7b,Mąka Pizza & Pasta,"Cholerzyn 203, 32-060, Kraków",Kraków,+48 607 846 545,maka.restauracja@gmail.com,https://www.facebook.com/maka.restauracja/about,restauracja,,,Tu-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-20:00,osm,2026-03-30,,,,new,,
